,latitude,longitude
164.0,31.7119,-110.0686
1841.0,32.2542,-111.1961
164.0,32.2817,-110.9442
164.0,32.25,-110.8333
164.0,32.2292,-110.9536
164.0,32.2581,-111.0053
1841.0,31.5678,-111.0497
421.0,34.7706,-112.0264
164.0,32.1264,-110.7247
421.0,35.2414,-112.1928
1541.0,32.9167,-110.7167
909.0,44.5036,-114.2397
2130.0,45.2775,-111.3253
2130.0,45.3394,-111.7122
2130.0,45.2167,-111.2833
1849.0,47.55,-110.7833
1849.0,47.6414,-110.6678
1849.0,47.0381,-110.7861
1849.0,47.0414,-110.7761
1849.0,47.2972,-110.7456
1849.0,47.5314,-110.5764
1849.0,47.3558,-111.4406
2130.0,45.2925,-111.9478
1190.0,41.2781,-114.1706
890.0,36.0686,-115.4603
1190.0,41.4333,-114.75
2268.0,41.0333,-112.2333
2268.0,41.4667,-112.2667
157.0,40.8911,-111.8503
157.0,40.8547,-111.8903
157.0,41.5239,-112.0436
1233.0,38.2917,-111.2622
157.0,40.8397,-111.8314
1511.0,38.9333,-112.8167
157.0,41.3436,-111.8497
157.0,41.0203,-111.9328
157.0,41.2403,-111.7131
157.0,41.2167,-111.85
2268.0,40.8133,-113.2
157.0,41.0972,-111.9972
2268.0,41.2167,-112.6333
157.0,41.0575,-111.6894
157.0,41.2439,-111.9467
157.0,41.2458,-111.9369
157.0,41.2319,-112.0283
157.0,41.2578,-111.8378
157.0,41.15,-112.0
1233.0,38.1,-111.05
1233.0,38.0667,-111.0667
157.0,41.2167,-111.85
2268.0,41.0497,-112.9367
157.0,41.1092,-111.9125
2272.0,44.5619,-110.3986
1849.0,46.91,-110.85
1849.0,46.93,-110.9
2272.0,44.37,-110.58
2130.0,45.27,-111.43
2130.0,44.96,-111.29
157.0,41.38,-111.94
157.0,41.31,-111.45
157.0,41.41,-111.83
157.0,41.38,-111.92
157.0,41.25,-111.41
157.0,41.22,-111.36
157.0,41.36,-111.49
157.0,40.99,-111.82
157.0,40.97,-111.81
157.0,40.87,-111.72
157.0,40.84,-111.71
157.0,40.93,-111.81
1233.0,38.21,-111.48
421.0,35.27,-111.74
421.0,35.07,-111.84
421.0,35.14,-112.15
421.0,35.1442,-111.6664
909.0,44.5228,-114.215
2268.0,40.1606,-113.3508
164.0,32.1314,-110.9553
157.0,41.1961,-112.0114
157.0,40.7781,-111.9694
1841.0,32.2394,-111.1697
1233.0,38.3028,-111.2936
2272.0,44.5444,-110.4211
